month,sales
2013-01-01 00:00:00+02,454904
2013-02-01 00:00:00+02,459417
2013-03-01 00:00:00+02,617382
2013-04-01 00:00:00+03,682274
2013-05-01 00:00:00+03,763242
2013-06-01 00:00:00+03,795597
2013-07-01 00:00:00+03,855922
2013-08-01 00:00:00+03,766761
2013-09-01 00:00:00+03,689907
2013-10-01 00:00:00+03,656587
2013-11-01 00:00:00+02,692643
2013-12-01 00:00:00+02,506607
2014-01-01 00:00:00+02,525987
2014-02-01 00:00:00+02,529117
2014-03-01 00:00:00+02,704301
2014-04-01 00:00:00+03,788914
2014-05-01 00:00:00+03,882877
2014-06-01 00:00:00+03,906842
2014-07-01 00:00:00+03,989010
2014-08-01 00:00:00+03,885596
2014-09-01 00:00:00+03,785124
2014-10-01 00:00:00+03,758883
2014-11-01 00:00:00+02,800783
2014-12-01 00:00:00+02,578048
2015-01-01 00:00:00+02,552513
2015-02-01 00:00:00+02,551317
2015-03-01 00:00:00+02,730951
2015-04-01 00:00:00+03,824467
2015-05-01 00:00:00+03,926902
2015-06-01 00:00:00+03,937184
2015-07-01 00:00:00+03,1037350
2015-08-01 00:00:00+03,920401
2015-09-01 00:00:00+03,823332
2015-10-01 00:00:00+03,797253
2015-11-01 00:00:00+03,827645
2015-12-01 00:00:00+02,607572
2016-01-01 00:00:00+02,602439
2016-02-01 00:00:00+02,614957
2016-03-01 00:00:00+02,790881
2016-04-01 00:00:00+03,901950
2016-05-01 00:00:00+03,988730
2016-06-01 00:00:00+03,1022664
2016-07-01 00:00:00+03,1138718
2016-08-01 00:00:00+03,981494
2016-09-01 00:00:00+03,896831
2016-10-01 00:00:00+03,863637
2016-11-01 00:00:00+03,891448
2016-12-01 00:00:00+03,663411
2017-01-01 00:00:00+03,617306
2017-02-01 00:00:00+03,621369
2017-03-01 00:00:00+03,822667
2017-04-01 00:00:00+03,938862
2017-05-01 00:00:00+03,1020686
2017-06-01 00:00:00+03,1064624
2017-07-01 00:00:00+03,1171393
2017-08-01 00:00:00+03,1026403
2017-09-01 00:00:00+03,935263
2017-10-01 00:00:00+03,891160
2017-11-01 00:00:00+03,928837
2017-12-01 00:00:00+03,695170
